,EquipSlot,ClassName,EquipName,WeaponType,EquipLevel,STR,DEX,LUK,INT,All Stats,Max HP,Max MP,Defense,Weapon Attack,Magic Attack,Attack Speed,Max DF
243,Secondary,Kaiser,Maple Treasure Essence,Dragon Essence,110,0,0,0,0,9,0,0,40,0,0,0,0
244,Secondary,Kaiser,Princess No's Dragon Essence,Dragon Essence,140,0,0,0,0,14,0,0,52,0,0,0,0
245,Secondary,Aran,Phoenix Mass,Mass,60,6,6,0,0,0,0,0,0,2,0,0,0
246,Secondary,Aran,Dragon Mass,Mass,100,10,10,0,0,0,0,0,0,3,0,0,0
247,Secondary,Aran,Onyx Maple Dragon Mass,Mass,100,8,8,0,0,0,0,0,0,5,0,0,0
248,Secondary,Aran,Maple Treasure Dragon Mass,Mass,110,9,9,0,0,0,0,0,0,6,0,0,0
249,Secondary,Aran,Princess No's Flower Ballast,Mass,140,14,14,0,0,0,0,0,0,9,0,0,0
250,Shield,Magician,Deimos Sage Shield,0,130,0,0,0,10,0,0,0,71,0,0,0,0
251,Shield,Warrior,Terminus Defender,0,160,13,13,0,0,0,0,0,153,0,0,0,0
252,Shield,Warrior,Deimos Warrior Shield,0,130,10,10,0,0,0,0,0,118,0,0,0,0
253,Shield,Magician,VIP Magician Shield,0,127,0,0,4,10,0,0,0,110,0,0,0,0
254,Shield,Thief,VIP Thief Shield,0,127,0,4,10,0,0,0,0,134,0,0,0,0
255,Shield,Thief,Deimos Shadow Shield,0,130,0,0,10,0,0,0,0,99,0,0,0,0
256,Shield,Thief,Dragon Khanjar,0,120,0,0,2,0,0,0,0,5,15,0,0,0
257,Shield,Warrior,Blue Dragon Shield,0,110,7,4,0,0,0,0,0,78,0,0,0,0
258,Shield,Warrior,VIP Warrior Shield,0,127,12,10,0,0,0,0,0,150,0,0,0,0
